"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_regression_case","tests.pytest","Fri Feb 06 13:14:47 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","","test_markers","",""
"","2027","User login with wrong email or password","LMS system","Fri Feb 06 13:14:34 UTC 2026","passed","Fri Feb 06 13:14:36 UTC 2026","Authorization","Authentication","",""
"","2663","Create course","LMS system","Fri Feb 06 13:14:45 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","Courses","Courses","",""
"","1694","Check displaying of dashboard page","LMS system","Fri Feb 06 13:14:49 UTC 2026","passed","Fri Feb 06 13:14:50 UTC 2026","Dashboard","Dashboard","",""
"","1","test_logout","tests.pytest","Fri Feb 06 13:14:47 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","1992","User login with wrong email or password","LMS system","Fri Feb 06 13:14:34 UTC 2026","passed","Fri Feb 06 13:14:36 UTC 2026","Authorization","Authentication","",""
"","1894","Registration with correct email, username and password","LMS system","Fri Feb 06 13:14:41 UTC 2026","passed","Fri Feb 06 13:14:42 UTC 2026","Registration","Authentication","",""
"","2745","Edit course","LMS system","Fri Feb 06 13:14:44 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Fri Feb 06 13:14:47 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","TestUserInterface","test_markers","",""
"","1618","Check displaying of empty courses list","LMS system","Fri Feb 06 13:14:42 UTC 2026","passed","Fri Feb 06 13:14:43 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Fri Feb 06 13:14:47 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","3105","User login with correct email and password","LMS system","Fri Feb 06 13:14:37 UTC 2026","passed","Fri Feb 06 13:14:40 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Feb 06 13:14:50 UTC 2026","passed","Fri Feb 06 13:14:50 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Fri Feb 06 13:14:47 UTC 2026","passed","Fri Feb 06 13:14:47 UTC 2026","","test_markers","",""
"","1616","Navigation from login page to registration page","LMS system","Fri Feb 06 13:14:39 UTC 2026","passed","Fri Feb 06 13:14:40 UTC 2026","Authorization","Authentication","",""
"","1725","User login with wrong email or password","LMS system","Fri Feb 06 13:14:37 UTC 2026","passed","Fri Feb 06 13:14:38 UTC 2026","Authorization","Authentication","",""
